en_bad_words
Derogatory abuse to muslims
Derogatory Abuse to female muslim
Derogatory Abuse to muslim
dick cut
fuck all
wild
disgusting
terrorist
terorist
badir
badirchand
bakland
bhadva
bhootnika
chinaal
chup
chutia
ghasti
chutiya
haraami
haraam
hijra
hinjda
jaanvar
kutta
kutiya
khota
auladheen
jaat
najayaz
gandpaidaish
saala
kutti
soover
tatti
potty
bahenchod
bahanchod
bahencho
bancho
bahenke
laude
takke
betichod
bhaichod
bhains
jhalla
jhant
nabaal
pissu
kutte
maadherchod
madarchod
padma
raand
jamai
randwa
randi
bachachod
bachichod
soower
bachchechod
ullu
pathe
banda
booblay
booby
buble
babla
bhonsriwala
bhonsdiwala
ched
chut
chod
chodu
chodra
choochi
chuchi
gaandu
gandu
gaand
lavda
lawda
lauda
lund�
balchod
lavander
muth
maacho
mammey
tatte
toto
toota
backar
bhandwe
bhosadchod
bhosad
bumchod
bum
bur
chatani
cuntmama
chipkali
pasine
jhaat
chodela
bhagatchod
chhola
chudai
chudaikhana
chunni
choot
bhoot
dhakkan
bhajiye
fateychu
gandnatije
lundtopi
gaandfat
gaandmasti
makhanchudai
gaandmarau
chaatu
beej
choosu
fakeerchod
lundoos
shorba
binbheja
bhadwe
parichod
nirodh
pucchi
baajer
choud
bhosda
sadi
choos
maka
gadde
joon
chullugand
doob
khatmal
gandkate
bambu
lassan
danda
keera
keeda
hazaarchu
paidaishikeeda
kali
safaid
poot
behendi
chus
machudi
chodoonga
baapchu
laltern
suhaagchudai
raatchuda
kaalu
neech
chikna
meetha
beechka
chooche
patichod
rundi
makkhi
biwichod
chodhunga
haathi
kute
jhanten
kaat
gandi
gadha
bimaar
badboodar
dum
raandsaala
phudi
chute
kussi
khandanchod
ghussa
maarey
chipkili
unday
budh
chaarpai
chodun
chatri
chode
chodho
mullekatue
mullikatui
mullekebaal
momedankatue
katua
chutiyapa
bc
mc
chudwaya
kutton
jungli
vahiyaat
jihadi
atankvadi
atankwadi
aatanki
asslover
whitetrash
meatrack
ra8s
urine
whit
randy
herpes
niglet
narcotic
pudboy
israel
dong
jiggabo
assassination
peepshpw
popimp
testicles
laid
molestor
peni5
barface
hell
pissed
sixsixsix
execute
shitty 
conspiracy
hamas
cunilingus
bitcher
muslim
pee
niggled
muffindiver
cocksman
scag
aroused
niggling
fingerfucker 
nlggor
niggaz
assfuck
slant
urinate
mothafucked 
fungus
gummer
alla
spaghettinigger
piss
mickeyfinn
fuckers
jizzim
tramp
quashie
hardon
shag
australian
raped
buggery
deth
weenie
lickme
tonguetramp
copulate
gun
cunn
damnit
crackpipe
buttmuncher
cameltoe
hotpussy
cuntfucker
slave
sluts
jackshit
dickman
doo-doo
gook
crimes
ho
bomd
shitdick
slapper
urinary
tantra
nookie
fuckedup
gubba
niggur
cybersex
dicklicker
cunillingus
hitlerism
triplex
dicklick
kunilingus
asian
tonguethrust
fistfucking 
assmonkey
criminal
cockknob
koon
children's
shat
footfucker
spitter
weapon
dive
cumm
cuntlicking 
sexy-slim
vibrater
jijjiboo
fuckfriend
mothafucka
sniggered
buttfuckers
nutfucker
peehole
taboo
erection
bast
lesbayn
hummer
shortfuck
cherrypopper
adult
palestinian
pussylips
nooner
stiffy
beastiality
latin
butchbabes
gross
crackwhore
butt-fuckers
kraut
pooping
lactate
spigotty
clogwog
whitey
dies
radical
slaughter
bollick
sodomite
beaver
asspirate
pimpjuice
bi-sexual
torture
limey
nookey
breastman
loser
kills
lesbo
beatyourmeat
munt
fornicate
bugger
lovejuice
eatballs
nlgger
dixiedyke
junglebunny
sonofabitch
goddamned
jism
assclown
shitforbrains
screwyou
ethiopian
nastyslut
lubejob
sexfarm
lezbe
lezbo
butt-bang
asskiss
biteme
angie
abortion
murderer
sextoy
cunntt
cooly
sodom
slideitin
fatfuck
god
gipp
communist
felatio 
libido
xtc
cuntfuck
niggardly
fuckface
protestant
trailertrash
headfuck
shav
dickweed
refugee
trannie
sexhound
titlover
moslem
krappy
tortur
cockcowboy
cocktail
doom
hymen
vibr
mufflikcer
phonesex
teste
pisshead
slime
brea5t
slutt
cumbubble
blackout
hijacking
premature
sextogo
racist
jimfish
flydye
jade
wigger
niggard's
jigg
dumb
devilworshipper
firing
gatorbait
murder
chinese
fastfuck
spik
nuke
kondum
pansy
destroy
ikey
women rapping
titfucker
crime
shitola
killer
fart
pimpsimp
zigabo
faith
bisexual
gangsta
teat
boobies
kafir
jugs
husky
kink
sleezebag
slutwhore
dickless
cumfest
israeli
niggardliness
nigr
goddamit
sandnigger
dope
insest
foreskin
dumbbitch
fuckmonkey
pubiclice
cyberslimer
titfuck
cummer
kumquat
fire
carruth
cocktease
trisexual
pric
rabbi
gypp
dipshit
welfare
arabs
transvestite
tnt
penile
mothafuckings
peckerwood
enemy
negroid
genital
gangbanger
thicklips
flydie
crabs
christ
lucifer
butchdyke
vatican
skumbag
horseshit
dickforbrains
kumbullbe
crack
niggerhole
niggard
assranger
beat-off
bastard 
asspuppies
cuntlick 
pommie
lezz
jesuschrist
nazi
zipperhead
necro
goddamnmuthafucker
whiskeydick
slopy
executioner
colored
ethnic
turnon
hole
nofuckingway
mastrabator
orgies
pisses 
blow j
criminals
cockqueen
snownigger
holestuffer
dipstick
nipplering
minority
italiano
palesimian
poo
horn
conservative
jebus
bullcrap
cumqueen
cancer
kaffir
mocky
suckmytit
naked
shited
nigg
spermhearder
african
disease
lovebone
spreadeagle
bong
gin
purinapricness
sexslave
iblowu
pissin 
skank
lotion
easyslut
mothafucker
whiz
lsd
cocksucked 
hosejob
wanker
cumjockey
lovegoo
whites
propaganda
sexwhore
welcher
scum
phuked
suckoff
shithapens
drug
wetspot
sixtynine
buttplug
jiggy
alligatorbait
flange
shitfit
dirty
bumfuck
deposit
sexual
japanese
suckmyass
church
goyim
bohunk
bigass
fannyfucker
gaymuthafuckinwhore
babies
girls
turd
fagging
pisser
sandm
wog
tinkle
snigger
groe
dix
swalow
chin
niggles
asslicker
molester
backseat
geez
seppo
sexually
boong
hoser
fore
asswhore
cocaine
skanky
european
titlicker
buttstain
penises
spermacide
mexican
skankybitch
puddboy
coondog
mockie
jesus
kumbubble
mormon
ontherag
henhouse
slutty
dego
phukked
cuntlicker 
failed
lezbefriends
bitchy
pohm
kigger
nastywhore
upthebutt
cohee
fuckingbitch
cigs
japcrap
raper
jackass
orgasim 
sexed
toilet
tampon
uk
goldenshower
titjob
abo
molestation
fok
crapola
foursome
suicide
niggerhead
pussie
abuse
analannie
cocksucking
breastjob
kumming
reestie
suckme
willie
shhit
titbitnipply
skankwhore
dragqueen
deapthroat
barelylegal
shinola
hookers
flatulence
mafia
argie
buttpirate
fagot
fuks
redneck
jiga
cockhead
freakfuck
crotchjockey
dripdick
die
fuckina
phungky
darky
magicwand
screw
butt-fucker
fuckpig
manpaste
molest
whiskydick
lez
rearend
niggardliness's
trojan
smack
lapdance
hindoo
fourtwenty
moles
hebe
pommy
fuckher
stringer
peck
backdoorman
shiting
clamdiver
fairy
pussylicker
slav
nigre
robber
penetration
phuking
cigarette
dyefly
cumshot
chinamen
pickaninny
diddle
fatah
bombers
suckdick
bigbastard
pube
mosshead
pornking
terror
pimper
fuckbuddy
period
catholics
pistol
doodoo
mockey
funeral
prickhead
whop
allah
pussyeater
cocksmith
executed
niggarding
buried
pocho
nip
weewee
whiskey
beast
muncher
fuckhead
smackthemonkey
badfuck
harem
nigerians
shooting
pissoff 
fistfucked 
ginzo
mattressprincess
primetime
fuckable
puss
damnation
jeez
stroking
yankee
piky
beastality
cocksucer
goddamn
shitfaced
dickhead
gangbanged 
masterbate
pikey
desire
pansies
dickbrain
sissy
horney
buttmunch
baptist
assassin
osama
mothafucking 
republican
wetb
freefuck
rere
transexual
assholes
butt-fuck
snowback
sniper
cockfight
death
mggor
skankbitch
goy
usama
dickwad
nigra
fuckinright
niggle
timbernigger
picaninny
whorefucker
yellowman
ero
nig
grostulation
dixiedike
shitfucker
hymie
sheeney
asswipe
crash
vomit
died
cameljockey
footfuck
sonofbitch
dahmer
feltcher
fingerfuckers
buttface
evl
dammit
lovepistol
shitting
blind
reefer
motherlovebone
fucka
lugan
devil
pornflick
russkie
fight
thirdleg
hore
negroes
moron
gonzagas
drunken
blackman
asskisser
crotchrot
motherfuckin
lezzo
fondle
slopey
fister
skankfuck
kill
taff
shithouse
cockblock
hoes
horniest
kunt
facefucker
assmuncher
bollock
stupidfuck
payo
poorwhitetrash
farting 
getiton
bulldike
arab
moky
illegal
skinflute
asspacker
buttman
glazeddonut
africa
fairies
fuckmehard
bitchin
fu
gyppie
penthouse
biatch
wop
erect
shitfull
vaginal
fraud
color
flasher
filipino
sexpot
sexymoma
boonie
puke
cacker
porchmonkey
violet blue
eatme
looser
virgin
assbagger
limy
negro's
lesbian
hustler
cunteyed
tarbaby
dumbfuck
backdoor
wuzzie
sadom
threeway
pimpjuic
chinaman
masturbating
bunga
goddammit
footstar
butthead
liquor
spermbag
beatoff
niggarded
kaffer
rearentry
motherfucking
areola
harder
greaseball
loverocket
asshore
perv
fingerfood
shaggin
commie
hitler
burn
honky
tongue
fubar
oral
abbo
sniggering
bomb
spig
freakyfucker
swallower
bigbutt
nastyho
goddamnes
pooperscooper
bi
puntang
bootycall
reject
enema
sob
spankthemonkey
buggered
jewish
wuss
asslick
bitching
gringo
pendy
tard
boody
buttfuck
faeces
splittail
clamdigger
shitlist
niggor
motherfucked
slimeball
pusy
excrement
goddamnit
stagg
hijack
sexkitten
hook
coolie
phuq
servant
gyppo
slopehead
pud
fingerfuck 
williewanker
crapper
sixtyniner
fetish
bitchez
manhater
pudd
mothafuckin
shitted
hitlerist
pi55
sodomise
ky
muffdiver
farty 
mooncricket
shite
boom
asshat
fat
chav
intheass
jacktheripper
felcher
spaghettibender
angry
gaysex 
willy
addict
russki
slimebucket
bogan
fuckme 
shitcan
brothel
rentafuck
sick
shitoutofluck
rump
nigerian
pindick
cockrider
felching
geezer
balllicker
fuckoff
jizzum
sadis
hodgie
fatfucker
poop
bicurious
bombs
hork
bi curious
sooty
liberal
prick
spunky
playgirl
vietcong
pecker
bitchslap
demon
jihad
assjockey
macaca
kums
pooper
homicide
fuuck
fear
shitfuck
tittie
wanking
fistfucker 
farted 
nigglings
hiscock
tang
floo
honger
meth
kummer
wn
geni
whash
fuckinnuts
dyke
kotex
poverty
butchdike
datnigga
uterus
execution
trots
luckycammeltoe
roach
swallow
blow
slutwear
panti
kissass
shawtypimp
muffdive
mulatto
noonan
wab
banging
tunneloflove
fuckwhore
homobangers
barfface
syphilis
pearlnecklace
sleezeball
sextoys
assman
german
shagging
stupidfucker
loadedgun
beastial
shithead
asses
pussylover
niggah
gotohell
jigga
remains
thirdeye
fuckknob
inthebuff
roundeye
retarded
mastabate
disturbed
kunnilingus
pee-pee
satan
lowlife
fucks
diseases
blow your l
krap
addicts
snatchpatch
bra
pussypounder
knife
pu55i
footaction
footlicker
mothafuckaz
pussycat
funfuck
boang
fuckit
shoot
slutting
coitus
spermherder
buttfucker
quickie
skum
kanake
soviet
lies
honkers
chinky
hillbillies
godammit
fugly
nasty
waysted
nastybitch
jew
limpdick
heroin
polack
pornprincess
gonorrehea
meatbeatter
crotchmonkey
shithappens
canadian
amateur
uck
whitenigger
niger
bigger
squaw
buttbang
gypo
defecate
kock
niggaracci
pussyfucker
corruption
ejaculated
shitface
creamy
bible
fckcum
knockers
fucck
whorehouse
cocksmoker
queer
cocklover
assblaster
bombing
hooters
forni
hapa
bazooms
failure
racial
fuckfreak
snot
cuntsucker
fingerfucked 
scallywag
pixy
kkk
mastabater
byatch
whigger
sos
attack
fucktard
nook
marijuana
filipina
asscowboy
fatso
spit
bazongas
chickslick
joint
niggards
cockblocker
gob
lingerie
headlights
dike
kaffre
crack-whore
lynch
explosion
black
homosexual
fucked
showtime
lesbin
kid
nudger
women's
boonga
choad
assault
cra5h
tuckahoe
fingerfucking 
hijacker
athletesfoot
pom
livesex
hostage
cocknob
fuckbag
hobo
itch
gyp
kyke
pros
stupid
radicals
fuckfest
hottotrot
sexhouse
analsex
nittit
jiz 
suckmydick
hotdamn
assfucker
jizim
pixie
kum
cemetery
rigger
ethical slut
ejaculating 
babe
cumquat
eatpussy
phuk
givehead
drunk
phukking
shiteater
catholic
cocksuck 
cocksucker
fuckyou
crappy
feltching
mideast
ecstacy
ribbed
interracial
pocha
skankywhore
pu55y
motherfuckings
piker
peepshow
jap
tongethruster
nigger's
breastlover
stroke
twobitwhore
shits
israel's
assassinate
killed
pocketpool
whacker
wtf
barf
juggalo
spick
gyppy
nymph
snigger's
violence
lovemuscle
dago
feces
booty
niggers
shitter
hussy
christian
pimped
breast
sperm
coloured
redlight
blacks
orga
bumblefuck
mams
slavedriver
killing
uptheass
bestial
sweetness
heeb
piccaninny
pot
honk
jizjuice
fuc
nignog
mgger
sexing
virginbreaker
samckdaddy
masterblaster
heterosexual
jigger 
lovegun
shitstain
spank
hiv
lesbain
mad
sniggers
jizm 
testicle
dragqween
titfuckin
moneyshot
bountybar
assklown
cocky
transsexual
unfuckable
cocklicker
profane
profanity
profanities
baiser
bander
bigornette
bite
bitte
bloblos
bordel
bosser
bourré
bourrée
brackmard
branlage
branler
branlette
branleur
branleuse
brouter le cresson
caca
cailler
chatte
chiasse
chier
chiottes
clito
con
connard
connasse
conne
couilles
cramouille
cul
déconne
déconner
drague
emmerdant
emmerder
emmerdeur
emmerdeuse
enculé
enculée
enculeur
enculeurs
enfoiré
enfoirée
étron
fille de pute
fils de pute
folle
foutre
gerbe
gerber
gouine
grande folle
grogniasse
gueule
jouir
la putain de ta mère
MALPT
ménage à trois
merde
merdeuse
merdeux
meuf
nègre
nique ta mère
nique ta race
palucher
pédale
pédé
péter
pipi
pouffiasse
pousse-crotte
putain
pute
ramoner
sac à merde
salaud
salope
suce
tapette
teuf
tringler
trique
trou du cul
turlute
veuve
zigounette
zizi
aand
aandu
balatkar
beti chod
bhadve
bhandve
bhootni ke
bhosadi ke
boobe
chakke
chinki
chodu bhagat
choot ke baal
chootia
chootiya
chuche
chudai khanaa
chudan chudai
chut ke baal
chut ke dhakkan
chut maarli
chutad
chutadd
chutan
gaandufad
gashti
gasti
ghassa
harami
haramzade
hawas
hawas ke pujari
hijda
jhant chaatu
jhant ke baal
jhantu
kamine
kaminey
kanjar
kutta kamina
kutte ki aulad
kutte ki jat
kuttiya
loda
lodu
lund
lund choos
lund khajoor
lundure
maa ki chut
maal
madar chod
mooh mein le
mutth
najayaz aulaad
najayaz paidaish
pataka
patakha
saala kutta
saali kutti
saali randi
suar
suar ki aulad
teri maa ka bhosada
teri maa ka boba chusu
teri maa ki chut
tharak
tharki
bangbus
cialis
cumshots
masturbation
mong
nsfw
nutten
sexcam
sexuality
spastic
thumbzilla
voyeurweb
voyuer
worldsex
??
